number,name,status
1,PEP 1 – PEP Purpose and Guidelines,Active
242,PEP 242 – Numeric Kinds,Rejected
235,PEP 235 – Import on Case-Insensitive Platforms,Final
234,PEP 234 – Iterators,Final
233,PEP 233 – Python Online Help,Deferred
236,PEP 236 – Back to the __future__,Final
239,PEP 239 – Adding a Rational Type to Python,Rejected
240,PEP 240 – Adding a Rational Literal to Python,Rejected
232,PEP 232 – Function Attributes,Final
230,PEP 230 – Warning Framework,Final
231,PEP 231 – __findattr__(),Rejected
237,PEP 237 – Unifying Long Integers and Integers,Final
238,PEP 238 – Changing the Division Operator,Final
229,PEP 229 – Using Distutils to Build Python,Final
228,PEP 228 – Reworking Python’s Numeric Model,Withdrawn
241,PEP 241 – Metadata for Python Software Packages,Superseded
8104,PEP 8104 – 2023 Term Steering Council election,Active
8103,PEP 8103 – 2022 Term steering council election,Active
8102,PEP 8102 – 2021 Term steering council election,Active
8016,PEP 8016 – The Steering Council Model,Accepted
8100,PEP 8100 – January 2019 steering council election,Active
8101,PEP 8101 – 2020 Term steering council election,Active
8015,PEP 8015 – Organization of the Python community,Rejected
8014,PEP 8014 – The Commons Governance Model,Rejected
8013,PEP 8013 – The External Council Governance Model,Rejected
8011,PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,Rejected
8002,PEP 8002 – Open Source Governance Survey,Active
8001,PEP 8001 – Python Governance Voting Process,Final
8000,PEP 8000 – Python Language Governance Proposal Overview,Active
8010,PEP 8010 – The Technical Leader Governance Model,Rejected
8012,PEP 8012 – The Community Governance Model,Rejected
3333,PEP 3333 – Python Web Server Gateway Interface v1.0.1,Final
3154,PEP 3154 – Pickle protocol version 4,Final
3156,PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3151,PEP 3151 – Reworking the OS and IO exception hierarchy,Final
3150,PEP 3150 – Statement local namespaces (aka “given” clause),Deferred
3155,PEP 3155 – Qualified name for classes and functions,Final
3153,PEP 3153 – Asynchronous IO support,Superseded
3149,PEP 3149 – ABI version tagged .so files,Final
3147,PEP 3147 – PYC Repository Directories,Final
3145,PEP 3145 – Asynchronous I/O For subprocess.Popen,Withdrawn
3148,PEP 3148 – futures - execute computations asynchronously,Final
3141,PEP 3141 – A Type Hierarchy for Numbers,Final
3146,PEP 3146 – Merging Unladen Swallow into CPython,Withdrawn
3152,PEP 3152 – Cofunctions,Rejected
3144,PEP 3144 – IP Address Manipulation Library for the Python Standard Library,Final
3140,"PEP 3140 – str(container) should call str(item), not repr(item)",Rejected
3142,PEP 3142 – Add a “while” clause to generator expressions,Rejected
3138,PEP 3138 – String representation in Python 3000,Final
3143,PEP 3143 – Standard daemon process library,Deferred
3139,PEP 3139 – Cleaning out sys and the “interpreter” module,Rejected
3135,PEP 3135 – New Super,Final
3136,PEP 3136 – Labeled break and continue,Rejected
